District,KDG_District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
YADGIRI,Yadgir,224659.0,20,AreaUnderCereals_Paddy,256273,14.0719935546762,31614.0
RAICHUR,Raichur,492342.0,20,AreaUnderCereals_Paddy,566158,14.992830187146334,73816.0
KOPPAL,Koppal,243505.0,20,AreaUnderCereals_Paddy,276012,13.34962321102236,32507.0
VIJAYANAGARA,Vijayanagara,206115.5,20,AreaUnderCereals_Paddy,236112,14.553248057521149,29996.5
BENGALURU,Bengaluru Urban,3376.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,3376,0.0,0.0
BENGALURU(R),Bengaluru Rural,2354.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,2354,0.0,0.0
RAMANAGARA,Ramanagara,12128.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,12278,1.2368073878627968,150.0
CHITRADURGA,Chitradurga,4566.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,4571,0.10950503723171265,5.0
DAVANAGERE,Davanagere,489505.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,499450,2.031644212010092,9945.0
KOLAR,Kolar,864.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,864,0.0,0.0
